Participant,P_E,N_E,P_I,N_I
C1K4L9S8,FALSE,FALSE,TRUE,TRUE
D0P7X9W6,TRUE,TRUE,FALSE,TRUE
G2Y7J4Q1,FALSE,FALSE,TRUE,TRUE
G9K4W1Z0,FALSE,FALSE,FALSE,FALSE
I8L4N6G7,TRUE,TRUE,FALSE,FALSE
J4X1T0D2,FALSE,TRUE,FALSE,FALSE
J6W7Q4H5,TRUE,TRUE,TRUE,TRUE
K4G7Y9O2,FALSE,FALSE,FALSE,FALSE
L0S1Z2I3,TRUE,TRUE,TRUE,TRUE
L1N3B5O2,TRUE,TRUE,TRUE,TRUE
M0R6U5F9,FALSE,TRUE,TRUE,TRUE
M4H6R2W9,FALSE,FALSE,FALSE,FALSE
M7D3F5K4,FALSE,FALSE,FALSE,FALSE
N7P5B8G0,FALSE,FALSE,FALSE,FALSE
O4A0U8R1,FALSE,FALSE,TRUE,TRUE
R0V9G1L4,TRUE,TRUE,TRUE,TRUE
U6O5V2T9,TRUE,TRUE,FALSE,FALSE
V9L0P2K7,TRUE,TRUE,FALSE,TRUE
X5Q0G4J2,FALSE,FALSE,TRUE,TRUE
Z6A2W1E8,TRUE,TRUE,FALSE,FALSE